Marca temporal;¿Cuál es tu género?;¿Cuál es tu edad?;¿Cuántas veces comes al día? (Desayuno, Almuerzo, Comida, Merienda, Cena, Snacks, Pre-entreno, Post-entreno...);¿Cuántas horas de deporte practicas por semana?;¿Cuántas horas duermes en promedio cada día?;¿Cuántas horas al día pasas frente a pantallas (como teléfono, computadora, televisión, etc.)?
2024/04/18 6:45:33 p. m. EET;Masculino;20;4+;4;6;7
2024/04/18 6:47:53 p. m. EET;Masculino;21;3;6;10;3
2024/04/18 6:49:30 p. m. EET;Femenino;21;3;4;8;8
2024/04/18 6:59:09 p. m. EET;Masculino;21;3;0;7;12
2024/04/18 7:01:37 p. m. EET;Femenino;21;4+;0;8;12
2024/04/18 7:05:43 p. m. EET;Femenino;20;4+;4;8;8
2024/04/18 7:06:50 p. m. EET;Masculino;22;3;6;7;7
2024/04/18 7:11:18 p. m. EET;Femenino;21;3;3;8;7
2024/04/18 7:15:36 p. m. EET;Femenino;22;4+;4;8;8
2024/04/18 7:15:59 p. m. EET;Femenino;22;2;7;5;17
2024/04/18 7:17:57 p. m. EET;Femenino;20;4+;5;8;8
2024/04/18 7:18:25 p. m. EET;Femenino;20;4+;6;7;5
2024/04/18 7:18:39 p. m. EET;Masculino;22;4+;10;6;9
2024/04/18 7:22:51 p. m. EET;Femenino;20;4+;4;8;10
2024/04/18 7:32:35 p. m. EET;Femenino;21;4+;5;6;7
2024/04/18 7:34:06 p. m. EET;Femenino;21;4+;9;7;6
2024/04/18 7:34:49 p. m. EET;Femenino;23;4+;3;6;10
2024/04/18 7:41:42 p. m. EET;Masculino;23;4+;13;7;3
2024/04/18 7:42:18 p. m. EET;Femenino;20;3;2;8;9
2024/04/18 7:43:41 p. m. EET;Femenino;16;4+;2;8;6
2024/04/18 7:45:17 p. m. EET;Femenino;20;4+;7;8;14
2024/04/18 7:45:26 p. m. EET;Femenino;22;2;5;5;6
2024/04/18 7:50:26 p. m. EET;Femenino;20;3;5;6;2
2024/04/18 7:52:37 p. m. EET;Femenino;21;4+;5;7;6
2024/04/18 7:57:31 p. m. EET;Masculino;25;3;4;7;3
2024/04/18 7:58:00 p. m. EET;Femenino;21;2;2;7;8
2024/04/18 7:59:31 p. m. EET;Masculino;21;4+;0;8;8
2024/04/18 7:59:42 p. m. EET;Masculino;20;3;3;8;9
2024/04/18 8:03:11 p. m. EET;Femenino;20;3;0;6;5
2024/04/18 8:06:30 p. m. EET;Masculino;20;4+;8;7;5
2024/04/18 8:08:01 p. m. EET;Femenino;20;4+;5;7;7
2024/04/18 8:11:43 p. m. EET;Femenino;58;3;7;6;2
2024/04/18 8:12:14 p. m. EET;Femenino;20;3;5;7;2
2024/04/18 8:12:47 p. m. EET;Masculino;20;3;0;5;2
2024/04/18 8:13:50 p. m. EET;Femenino;50;4+;4;7;5
2024/04/18 8:14:59 p. m. EET;Masculino;20;3;5;8;6
2024/04/18 8:14:59 p. m. EET;Femenino;22;4+;5;7;5
2024/04/18 8:15:40 p. m. EET;Masculino;20;4+;8;8;10
2024/04/18 8:17:28 p. m. EET;Femenino;59;4+;6;5;8
2024/04/18 8:18:49 p. m. EET;Masculino;20;4+;6;7;6
2024/04/18 8:23:03 p. m. EET;Femenino;20;4+;3;7;5
2024/04/18 8:26:40 p. m. EET;Femenino;19;3;1;6;10
2024/04/18 8:26:46 p. m. EET;Femenino;19;3;2;8;6
2024/04/18 8:28:51 p. m. EET;Femenino;20;3;3;8;6
2024/04/18 8:28:53 p. m. EET;Femenino;21;4+;2;7;6
2024/04/18 8:30:26 p. m. EET;Femenino;21;3;5;7;6
2024/04/18 8:31:14 p. m. EET;Femenino;20;4+;0;7;12
2024/04/18 8:34:15 p. m. EET;Femenino;20;3;4;8;10
2024/04/18 8:34:59 p. m. EET;Femenino;20;4+;0;7;4
2024/04/18 8:37:01 p. m. EET;Masculino;22;4+;4;8;11
2024/04/18 8:37:11 p. m. EET;Femenino;20;4+;0;6;8
2024/04/18 8:37:37 p. m. EET;Femenino;20;3;1;7;6
2024/04/18 8:38:23 p. m. EET;Masculino;20;4+;10;8;6
2024/04/18 8:38:29 p. m. EET;Femenino;21;4+;10;7;10
2024/04/18 8:40:35 p. m. EET;Femenino;21;3;3;7;9
2024/04/18 8:42:34 p. m. EET;Femenino;22;4+;10;7;8
2024/04/18 8:46:15 p. m. EET;Femenino;18;4+;2;8;7
2024/04/18 8:50:05 p. m. EET;Femenino;19;4+;6;7;6
2024/04/18 8:50:51 p. m. EET;Masculino;20;4+;3;6;5
2024/04/18 8:53:58 p. m. EET;Femenino;19;4+;5;8;5
2024/04/18 8:55:38 p. m. EET;Femenino;16;4+;4;8;4
2024/04/18 8:56:12 p. m. EET;Femenino;21;4+;13;7;7
2024/04/18 8:56:34 p. m. EET;Femenino;46;4+;2;4;9
2024/04/18 8:56:50 p. m. EET;Masculino;23;3;10;7;10
2024/04/18 8:57:44 p. m. EET;Masculino;49;4+;8;7;5
2024/04/18 8:58:37 p. m. EET;Femenino;21;4+;2;9;3
2024/04/18 8:58:56 p. m. EET;Prefiero no contestar;22;3;14;6;6
2024/04/18 8:59:59 p. m. EET;Masculino;21;4+;6;8;14
2024/04/18 9:03:27 p. m. EET;Masculino;20;3;4;6;8
2024/04/18 9:05:26 p. m. EET;Femenino;20;4+;6;7;10
2024/04/18 9:06:25 p. m. EET;Femenino;28;4+;3;8;10
2024/04/18 9:13:00 p. m. EET;Femenino;20;4+;0;7;9
2024/04/18 9:15:02 p. m. EET;Masculino;22;4+;7;8;5
2024/04/18 9:18:34 p. m. EET;Masculino;22;3;10;6;8
2024/04/18 9:32:47 p. m. EET;Masculino;20;2;8;5;7
2024/04/18 9:34:42 p. m. EET;Femenino;20;4+;3;6;10
2024/04/18 9:34:49 p. m. EET;Masculino;18;4+;5;7;10
2024/04/18 9:35:30 p. m. EET;Femenino;20;3;0;8;7
2024/04/18 9:39:08 p. m. EET;Masculino;63;2;13;8;9
2024/04/18 9:48:31 p. m. EET;Masculino;21;3;6;8;6
2024/04/18 9:49:36 p. m. EET;Femenino;20;4+;3;7;9
2024/04/18 9:59:38 p. m. EET;Femenino;20;4+;3;9;8
2024/04/18 10:02:16 p. m. EET;Masculino;23;3;10;7;10
2024/04/18 10:15:40 p. m. EET;Femenino;20;3;1;7;5
2024/04/18 10:21:46 p. m. EET;Femenino;20;3;1;6;5
2024/04/18 10:23:47 p. m. EET;Femenino;21;3;10;7;8
2024/04/18 10:36:09 p. m. EET;Femenino;58;3;7;6;2
2024/04/18 10:36:36 p. m. EET;Femenino;24;3;0;7;13
2024/04/18 10:40:26 p. m. EET;Femenino;27;4+;4;7;10
2024/04/18 10:57:39 p. m. EET;Femenino;56;4+;2;7;3
2024/04/18 11:20:22 p. m. EET;Femenino;20;4+;4;6;12
2024/04/18 11:20:33 p. m. EET;Femenino;18;4+;3;7;8
2024/04/18 11:31:14 p. m. EET;Femenino;27;3;4;7;7
2024/04/18 11:31:31 p. m. EET;Femenino;20;3;4;8;9
2024/04/19 12:06:53 a. m. EET;Masculino;55;3;10;7;10
2024/04/19 12:09:10 a. m. EET;Masculino;18;2;3;7;4
2024/04/19 12:16:14 a. m. EET;Femenino;24;4+;6;8;6
2024/04/19 12:39:53 a. m. EET;Masculino;24;4+;9;7;3
2024/04/19 1:09:17 a. m. EET;Femenino;21;4+;5;7;3
2024/04/19 6:55:35 a. m. EET;Femenino;28;3;2;6;7
2024/04/19 7:33:25 a. m. EET;Masculino;20;2;7;8;7
2024/04/19 8:22:33 a. m. EET;Femenino;24;3;5;6;12
2024/04/19 11:00:39 a. m. EET;Femenino;62;3;2;8;1
2024/04/19 11:05:05 a. m. EET;Femenino;59;3;0;7;6
2024/04/19 11:05:21 a. m. EET;Femenino;63;3;7;7;3
